,util_diff,normal cdf V1-V3,normal cdf V3-V1,log normal cdf V1-V3,log normal cdf V3-V1,choice log prob
72,3.4476948,0.9997173,0.00028270483,-0.0002827448,-7.9711924,-0.0002827448
73,3.502136,0.9997692,0.00023075938,-0.00023081581,-7.9711924,-0.00023081581
74,3.4923003,0.99976057,0.00023943186,-0.00023946053,-7.9711924,-0.00023946053
75,3.4847512,0.99975365,0.000246346,-0.00024637635,-7.9711924,-0.00024637635
76,3.4840326,0.999753,0.00024697185,-0.00024703215,-7.9711924,-0.00024703215
77,3.4738064,0.9997434,0.000256598,-0.0002566309,-7.9711924,-0.0002566309
78,3.470976,0.9997407,0.0002592802,-0.00025931382,-7.9711924,-0.00025931382
79,3.4849036,0.99975383,0.00024613738,-0.00024619748,-7.9711924,-0.00024619748
80,3.5160923,0.999781,0.00021895766,-0.00021901145,-7.9711924,-0.00021901145
81,3.4844472,0.9997534,0.00024658442,-0.00024661483,-7.9711924,-0.00024661483
82,3.4870543,0.99975586,0.00024417043,-0.00024417043,-7.9711924,-0.00024417043
83,3.4891129,0.99975765,0.00024235249,-0.00024238185,-7.9711924,-0.00024238185
84,3.4954336,0.99976337,0.00023663044,-0.00023665844,-7.9711924,-0.00023665844
85,3.466209,0.99973613,0.00026386976,-0.00026390457,-7.9711924,-0.00026390457
86,3.4896467,0.99975824,0.00024178624,-0.00024178566,-7.9711924,-0.00024178566
87,3.4736364,0.9997433,0.0002567172,-0.00025675015,-7.9711924,-0.00025675015
88,3.5480785,0.9998059,0.00019407272,-0.00019409155,-7.9711924,-0.00019409155
89,3.4368148,0.9997057,0.00029429793,-0.00029437104,-7.9711924,-0.00029437104
90,3.442176,0.99971145,0.00028854609,-0.0002885877,-7.9711924,-0.0002885877
91,3.4493008,0.999719,0.0002810061,-0.00028101576,-7.9711924,-0.00028101576
92,3.4558966,0.9997257,0.00027427077,-0.0002743382,-7.9711924,-0.0002743382
93,3.4699984,0.9997397,0.00026029348,-0.00026032736,-7.9711924,-0.00026032736
94,3.4588022,0.99972874,0.00027126074,-0.00027129753,-7.9711924,-0.00027129753
95,3.4474127,0.999717,0.00028297305,-0.0002830429,-7.9711924,-0.0002830429
96,3.4507716,0.9997205,0.00027948618,-0.00027952524,-7.9711924,-0.00027952524
97,3.4491014,0.9997187,0.00028127432,-0.00028131387,-7.9711924,-0.00028131387
98,3.5161574,0.9997811,0.00021892786,-0.00021895183,-7.9711924,-0.00021895183
