PersonID,weight,hhsize,childnum,faminc,faminc25K,income,employed,fulltime,spousepr,spousemp,male,married,age,age2,age15_40,age41_60,age61_85,bachigher,white,metro,diaryday,Sunday,holiday,weekearn,weekwordur,hhchild,ohhchild,t1,t2,t3,t4,number_chosen
2880,0.59792931,4,0,13,0,67.5,0,0,1,1,1,1,71,5041,0,0,1,0,1,1,1,1,0,-1.0,-1,0,0,60,60,0,30,3
2881,0.699436187,4,2,14,0,87.5,1,1,1,1,0,1,32,1024,1,0,0,1,1,1,7,0,0,853.84,40,1,1,0,165,465,215,3
2882,0.760325605,2,0,11,0,45.0,1,1,1,0,1,1,61,3721,0,0,1,0,1,1,7,0,0,646.15,50,0,0,20,0,0,15,2
2883,0.820785619,4,1,16,0,150.0,1,1,1,1,1,1,27,729,1,0,0,1,1,1,7,0,0,865.38,40,1,1,1,0,0,35,2
2884,0.652723862,2,0,16,0,150.0,1,1,1,1,0,1,51,2601,0,1,0,0,1,1,1,1,0,1730.76,40,0,0,108,220,0,60,3
2885,0.519473597,2,0,16,0,150.0,1,1,1,1,0,1,53,2809,0,1,0,1,1,0,1,1,0,2000.0,50,0,0,15,173,0,110,3
2886,0.285590873,1,0,13,0,67.5,1,1,0,0,0,0,37,1369,1,0,0,1,1,1,7,0,0,1153.84,50,0,0,0,0,0,90,1
2887,0.460509778,2,0,12,0,55.0,1,1,0,0,1,1,32,1024,1,0,0,0,1,0,7,0,0,1923.0,60,0,0,0,861,0,200,2
2888,1.044566754,2,0,12,0,55.0,1,1,1,1,1,1,48,2304,0,1,0,1,0,1,7,0,0,-1.0,40,0,0,260,300,5,30,4
2889,0.738472097,2,0,12,0,55.0,1,1,1,0,1,1,41,1681,0,1,0,1,1,1,7,0,0,961.53,-1,0,0,30,500,0,70,3
2890,0.692765608,2,0,4,1,11.25,1,0,1,0,0,1,47,2209,0,1,0,0,1,0,1,1,0,174.0,24,0,0,55,138,0,20,3
2891,0.37748209,5,3,2,1,6.25,1,1,1,0,1,1,38,1444,1,0,0,0,1,0,7,0,0,1636.4,80,1,1,0,375,0,30,2
2892,0.531760336,5,2,14,0,87.5,1,1,1,0,1,1,33,1089,1,0,0,0,1,1,1,1,0,-1.0,70,1,1,0,419,390,0,2
2893,1.55840395,2,0,13,0,67.5,1,1,1,1,0,1,29,841,1,0,0,1,1,1,1,1,0,550.0,50,0,0,17,65,0,176,3
2894,0.840465727,4,2,15,0,125.0,1,1,1,1,1,1,47,2209,0,1,0,0,0,1,7,0,0,1250.0,40,1,1,0,418,110,150,3
2895,0.322715798,4,2,16,0,150.0,1,1,1,1,1,1,41,1681,0,1,0,1,0,1,1,1,0,2692.3,40,1,1,30,0,0,30,2
2896,0.43229451,3,1,11,0,45.0,1,1,1,0,1,1,30,900,1,0,0,0,1,0,7,0,0,640.0,50,1,1,70,390,0,120,3
2897,0.733769539,4,2,15,0,125.0,1,1,1,1,0,1,34,1156,1,0,0,1,1,1,7,0,0,2115.38,40,1,1,78,100,0,95,3
2898,0.44916651,3,1,1,1,2.5,0,0,1,1,0,1,52,2704,0,1,0,1,1,1,7,0,0,-1.0,-1,1,1,15,3,0,100,3
2899,0.285109385,1,0,9,0,32.5,0,0,0,0,0,0,78,6084,0,0,1,0,1,1,1,1,0,-1.0,-1,0,0,15,185,0,95,3
2900,0.497693007,2,0,16,0,150.0,0,0,1,0,1,1,85,7225,0,0,1,0,1,1,1,1,0,-1.0,-1,0,0,2,128,0,0,2
2901,0.497725585,1,0,10,0,37.5,0,0,0,0,1,0,33,1089,1,0,0,0,1,1,7,0,0,-1.0,-1,0,0,0,285,50,15,3
2902,0.297045326,4,2,16,0,150.0,1,1,1,1,0,1,52,2704,0,1,0,1,1,1,7,0,0,1500.0,40,1,1,0,395,0,0,1
2903,0.389064044,4,2,16,0,150.0,1,1,1,1,0,1,42,1764,0,1,0,1,1,1,1,1,0,1519.23,40,1,1,75,0,0,31,2
2904,0.964642207,4,1,15,0,125.0,1,1,1,1,0,1,46,2116,0,1,0,1,0,1,1,1,0,1250.0,40,1,1,0,95,0,180,2
2905,0.341461399,5,3,10,0,37.5,0,0,1,1,0,1,45,2025,0,1,0,0,1,1,7,0,0,-1.0,-1,1,1,0,425,45,123,3
2906,1.106224591,3,0,4,1,11.25,0,0,0,0,0,0,41,1681,0,1,0,0,1,1,1,1,0,-1.0,-1,0,0,0,390,0,220,2
2907,0.85965944,1,0,12,0,55.0,1,1,0,0,1,0,39,1521,1,0,0,1,1,1,7,0,0,2403.0,45,0,0,30,270,260,0,3
2908,0.810095385,2,0,6,1,17.5,0,0,1,0,0,1,71,5041,0,0,1,0,1,1,7,0,0,-1.0,-1,0,0,180,0,0,0,1
2909,2.40945383,7,1,16,0,150.0,1,1,1,0,1,1,25,625,1,0,0,0,1,1,1,1,0,-1.0,60,1,1,0,120,900,0,2
2910,0.384047299,4,2,15,0,125.0,1,1,1,1,1,1,43,1849,0,1,0,1,1,1,7,0,0,2006.8,40,1,1,0,120,0,0,1
2911,0.41873062,3,1,16,0,150.0,0,0,1,1,0,1,36,1296,1,0,0,1,1,1,1,1,0,-1.0,-1,1,1,0,360,90,45,3
2912,1.060519794,2,0,15,0,125.0,1,1,1,1,1,1,40,1600,1,0,0,0,1,1,1,1,0,1442.0,40,0,0,330,0,0,0,1
2913,0.290910999,4,2,15,0,125.0,1,1,1,1,1,1,40,1600,1,0,0,0,1,1,7,0,0,1250.0,60,1,1,15,120,0,32,3
